gene,ensembl_id,gene_name,gene_weight,max_l2g_score,mean_l2g_score,n_credible_sets,n_stage_03_loci,credible_set_ids,stage_03_loci,lead_variants,top_credible_set_id,top_lead_variant,top_locus,study,score_interpretation,selection_rule
IGSF9B,ENSG00000080854,immunoglobulin superfamily member 9B,0.8415665030479431,0.8415665030479431,0.8415665030479431,1,1,5dd6ec393088e0e55eb1cf0664f32415,PD_CHR11_045,rs3802920,5dd6ec393088e0e55eb1cf0664f32415,rs3802920,PD_CHR11_045,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
CCSER1,ENSG00000184305,coiled-coil serine rich protein 1,0.8328624963760376,0.8328624963760376,0.8328624963760376,1,1,14648e8c292380917802dc831f614f56,PD_CHR04_024,rs75541595,14648e8c292380917802dc831f614f56,rs75541595,PD_CHR04_024,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
CLCN3,ENSG00000109572,Cl-/H+ antiporter 3,0.8020431399345398,0.8020431399345398,0.8020431399345398,1,1,27fbf89e6668fc09644f795c52ea42f7,PD_CHR04_026,rs7434295,27fbf89e6668fc09644f795c52ea42f7,rs7434295,PD_CHR04_026,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
BST1,ENSG00000109743,bone marrow stromal cell antigen 1,0.8018874526023865,0.8018874526023865,0.8018874526023865,1,1,4a2c27b955e21a147ccc9b58ee7fa86d,PD_CHR04_021,rs4698412,4a2c27b955e21a147ccc9b58ee7fa86d,rs4698412,PD_CHR04_021,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
TMEM175,ENSG00000127419,transmembrane protein 175,0.7957037091255188,0.7957037091255188,0.7957037091255188,1,1,c54fb958fa227c40069441cd9d03aa2a,PD_CHR04_020,rs34311866,c54fb958fa227c40069441cd9d03aa2a,rs34311866,PD_CHR04_020,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
FYN,ENSG00000010810,"FYN proto-oncogene, Src family tyrosine kinase",0.7615038752555847,0.7615038752555847,0.7615038752555847,1,1,68edb235c2263b6189e993240b99f029,PD_CHR06_032,rs9487736,68edb235c2263b6189e993240b99f029,rs9487736,PD_CHR06_032,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
CNTN1,ENSG00000018236,contactin 1,0.7606772780418396,0.7606772780418396,0.7606772780418396,1,1,60085c9852da11c93c1d7802e713e01a,PD_CHR12_049,rs73273590,60085c9852da11c93c1d7802e713e01a,rs73273590,PD_CHR12_049,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
NOD2,ENSG00000167207,nucleotide binding oligomerization domain containing 2,0.7565200924873352,0.7565200924873352,0.7565200924873352,1,1,c4324116aa13f50cded13161dc92c6bd,PD_CHR16_062,rs34133110,c4324116aa13f50cded13161dc92c6bd,rs34133110,PD_CHR16_062,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
RNF141,ENSG00000110315,ring finger protein 141,0.7541582584381104,0.7541582584381104,0.7541582584381104,1,1,3e13e700e702859efc1893b1447cbe74,PD_CHR11_043,rs4910150,3e13e700e702859efc1893b1447cbe74,rs4910150,PD_CHR11_043,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
MAP4K4,ENSG00000071054,mitogen-activated protein kinase kinase kinase kinase 4,0.7526438236236572,0.7526438236236572,0.7526438236236572,1,1,fc4abf134a9277d1a61486c08d7dfbfe,PD_CHR02_010,rs11683001,fc4abf134a9277d1a61486c08d7dfbfe,rs11683001,PD_CHR02_010,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
DYRK1A,ENSG00000157540,dual specificity tyrosine phosphorylation regulated kinase 1A,0.7525694370269775,0.7525694370269775,0.7525694370269775,1,1,99953a2192622c8188ffde74b66139c5,PD_CHR21_078,rs2248244,99953a2192622c8188ffde74b66139c5,rs2248244,PD_CHR21_078,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
IRS2,ENSG00000185950,insulin receptor substrate 2,0.7469207048416138,0.7469207048416138,0.7469207048416138,1,1,e5ba17ca78d559dbcdc1b5be492db7ab,PD_CHR13_054,rs1078514,e5ba17ca78d559dbcdc1b5be492db7ab,rs1078514,PD_CHR13_054,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
GALC,ENSG00000054983,galactosylceramidase,0.730959951877594,0.730959951877594,0.730959951877594,1,1,96331731b4895b8745ce0bfa50d10d9b,PD_CHR14_058,rs1561758,96331731b4895b8745ce0bfa50d10d9b,rs1561758,PD_CHR14_058,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
TOX3,ENSG00000103460,TOX high mobility group box family member 3,0.7276461720466614,0.7276461720466614,0.7276461720466614,1,1,fff01aee854c10480f3e04fbb440d230,PD_CHR16_063,rs3104776,fff01aee854c10480f3e04fbb440d230,rs3104776,PD_CHR16_063,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
ASXL3,ENSG00000141431,ASXL transcriptional regulator 3,0.7160765528678894,0.7160765528678894,0.7160765528678894,1,1,2f9e25d1a8195d90781eb14bac1b9e04,PD_CHR18_071,rs8091977,2f9e25d1a8195d90781eb14bac1b9e04,rs8091977,PD_CHR18_071,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
PKP2,ENSG00000057294,plakophilin 2,0.7130399346351624,0.7130399346351624,0.7130399346351624,1,1,97a2c12e26b0765502779cb2b646396c,PD_CHR12_046,rs148163066,97a2c12e26b0765502779cb2b646396c,rs148163066,PD_CHR12_046,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
SLC18B1,ENSG00000146409,solute carrier family 18 member B1,0.702358067035675,0.702358067035675,0.702358067035675,1,1,1dbafcbc9c4d6dcfbff2f84b031d9bfb,PD_CHR06_033,rs41286192,1dbafcbc9c4d6dcfbff2f84b031d9bfb,rs41286192,PD_CHR06_033,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
ALG10,ENSG00000139133,"ALG10 alpha-1,2-glucosyltransferase",0.7019623517990112,0.7019623517990112,0.7019623517990112,1,1,f9b779f48569ccfa8fe2520d08d8f71e,PD_CHR12_047,rs4421827,f9b779f48569ccfa8fe2520d08d8f71e,rs4421827,PD_CHR12_047,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
SLC2A13,ENSG00000151229,solute carrier family 2 member 13,0.700274646282196,0.700274646282196,0.700274646282196,1,1,2c3245c431e1080e62236340d5909691,PD_CHR12_048,rs28370650,2c3245c431e1080e62236340d5909691,rs28370650,PD_CHR12_048,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
SPPL2B,ENSG00000005206,signal peptide peptidase like 2B,0.6948310136795044,0.6948310136795044,0.6948310136795044,1,1,8a461a2c971ef86ed5a5d9b2c23e1354,PD_CHR19_074,rs55818311,8a461a2c971ef86ed5a5d9b2c23e1354,rs55818311,PD_CHR19_074,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
FAM47E,ENSG00000189157,family with sequence similarity 47 member E,0.6943575739860535,0.6943575739860535,0.6943575739860535,1,1,1e924521aa2b80f1e6f0db4da634f37c,PD_CHR04_023,rs6854006,1e924521aa2b80f1e6f0db4da634f37c,rs6854006,PD_CHR04_023,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
FBRSL1,ENSG00000112787,fibrosin like 1,0.6778879165649414,0.6778879165649414,0.6778879165649414,1,1,798ef74d91d0316096bbaf61adbe5394,PD_CHR12_052,rs11610045,798ef74d91d0316096bbaf61adbe5394,rs11610045,PD_CHR12_052,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
RIMS1,ENSG00000079841,regulating synaptic membrane exocytosis 1,0.67091304063797,0.67091304063797,0.67091304063797,1,1,4b65b08c63cc0ebe8ffe639e66d33902,PD_CHR06_031,rs12528068,4b65b08c63cc0ebe8ffe639e66d33902,rs12528068,PD_CHR06_031,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
SEC23IP,ENSG00000107651,SEC23 interacting protein,0.6697301864624023,0.6697301864624023,0.6697301864624023,1,1,73c7501597a8395fc0fb977252fc6ecf,PD_CHR10_042,rs118117788,73c7501597a8395fc0fb977252fc6ecf,rs118117788,PD_CHR10_042,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
MCCC1,ENSG00000078070,methylcrotonyl-CoA carboxylase subunit 1,0.6534242630004883,0.6534242630004883,0.6534242630004883,1,1,6b4412018b3b46e39eaf2a795e0c86ff,PD_CHR03_019,rs10513789,6b4412018b3b46e39eaf2a795e0c86ff,rs10513789,PD_CHR03_019,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
LCORL,ENSG00000178177,ligand dependent nuclear receptor corepressor like,0.6404941082000732,0.6404941082000732,0.6404941082000732,1,1,43cca9beb1307ea30018f9b3e6cb0394,PD_CHR04_022,rs7673321,43cca9beb1307ea30018f9b3e6cb0394,rs7673321,PD_CHR04_022,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
ELOVL7,ENSG00000164181,ELOVL fatty acid elongase 7,0.6225336194038391,0.6225336194038391,0.6225336194038391,1,1,9840f5d6f7096f80fa7acf2b9bd26d23,PD_CHR05_027,rs1867598,9840f5d6f7096f80fa7acf2b9bd26d23,rs1867598,PD_CHR05_027,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
SLC50A1,ENSG00000169241,solute carrier family 50 member 1,0.6150293350219727,0.6150293350219727,0.6150293350219727,1,1,32b726309ce69671e5eadf6258ed8a7e,PD_CHR01_002,rs35682329,32b726309ce69671e5eadf6258ed8a7e,rs35682329,PD_CHR01_002,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
DLG2,ENSG00000150672,discs large MAGUK scaffold protein 2,0.607625424861908,0.607625424861908,0.607625424861908,1,1,205d43eb159b23bbe66b421d895af3c5,PD_CHR11_044,rs6592142,205d43eb159b23bbe66b421d895af3c5,rs6592142,PD_CHR11_044,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
CAMK2D,ENSG00000145349,calcium/calmodulin dependent protein kinase II delta,0.6061360836029053,0.6061360836029053,0.6061360836029053,1,1,d204fd6006cfd62423c05e28743e170b,PD_CHR04_025,rs13117519,d204fd6006cfd62423c05e28743e170b,rs13117519,PD_CHR04_025,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
VAMP4,ENSG00000117533,vesicle associated membrane protein 4,0.5934772491455078,0.5934772491455078,0.5934772491455078,1,1,65fe3ec96504bae9043f65f6bcd412c7,PD_CHR01_006,rs10903,65fe3ec96504bae9043f65f6bcd412c7,rs10903,PD_CHR01_006,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
USP25,ENSG00000155313,ubiquitin specific peptidase 25,0.5770121216773987,0.5770121216773987,0.5770121216773987,1,1,ead755c3c3641615dcc26a99ad313c0f,PD_CHR21_077,rs1736020,ead755c3c3641615dcc26a99ad313c0f,rs1736020,PD_CHR21_077,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
SV2C,ENSG00000122012,synaptic vesicle glycoprotein 2C,0.5758057832717896,0.5758057832717896,0.5758057832717896,1,1,6a25b7b9810bfcdb7a432396e5937024,PD_CHR05_028,rs246815,6a25b7b9810bfcdb7a432396e5937024,rs246815,PD_CHR05_028,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
ITGA8,ENSG00000077943,integrin subunit alpha 8,0.5747663378715515,0.5747663378715515,0.5747663378715515,1,1,4fe27e0d56a20ce70103e1d88a7441d6,PD_CHR10_040,rs13664,4fe27e0d56a20ce70103e1d88a7441d6,rs13664,PD_CHR10_040,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
ITGA2B,ENSG00000005961,integrin subunit alpha 2b,0.5718092322349548,0.5718092322349548,0.5718092322349548,1,1,df2fab084418fef0861a6ed0373038ee,PD_CHR17_065,rs850731,df2fab084418fef0861a6ed0373038ee,rs850731,PD_CHR17_065,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
UBAP2,ENSG00000137073,ubiquitin associated protein 2,0.5707280039787292,0.5707280039787292,0.5707280039787292,1,1,ffbb9cad4773b611b2c63babbd5259d8,PD_CHR09_039,rs6476434,ffbb9cad4773b611b2c63babbd5259d8,rs6476434,PD_CHR09_039,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
PIK3CA,ENSG00000121879,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha",0.5610139966011047,0.5610139966011047,0.5610139966011047,1,1,756f75b6491487d11ae26f7277a0989d,PD_CHR03_018,rs6806917,756f75b6491487d11ae26f7277a0989d,rs6806917,PD_CHR03_018,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
FASN,ENSG00000169710,fatty acid synthase,0.5596649646759033,0.5596649646759033,0.5596649646759033,1,1,b17c8074f1d156852f73e7a2b4e7412b,PD_CHR17_070,rs4485435,b17c8074f1d156852f73e7a2b4e7412b,rs4485435,PD_CHR17_070,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
FGF20,ENSG00000078579,fibroblast growth factor 20,0.5564497709274292,0.5564497709274292,0.5564497709274292,1,1,3f5a3b8f2b1da9113670d0bb3a3bd2b6,PD_CHR08_036,rs34096562,3f5a3b8f2b1da9113670d0bb3a3bd2b6,rs34096562,PD_CHR08_036,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
MED12L,ENSG00000144893,mediator complex subunit 12L,0.5456203818321228,0.5456203818321228,0.5456203818321228,1,1,f4e65b87c2592c59a5c29bad1fc3aaf9,PD_CHR03_017,rs6803771,f4e65b87c2592c59a5c29bad1fc3aaf9,rs6803771,PD_CHR03_017,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
C8orf58,ENSG00000241852,chromosome 8 open reading frame 58,0.5322436690330505,0.5322436690330505,0.5322436690330505,1,1,0887f1ea47022100566362acd320b7f9,PD_CHR08_037,rs11783129,0887f1ea47022100566362acd320b7f9,rs11783129,PD_CHR08_037,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
AZI2,ENSG00000163512,5-azacytidine induced 2,0.5317397713661194,0.5317397713661194,0.5317397713661194,1,1,5c969b44e1c4ad2bb3d0a194d0103bd8,PD_CHR03_014,rs6808178,5c969b44e1c4ad2bb3d0a194d0103bd8,rs6808178,PD_CHR03_014,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
NSF,ENSG00000073969,"N-ethylmaleimide sensitive factor, vesicle fusing ATPase",0.5286843180656433,0.5286843180656433,0.5286843180656433,1,1,02880e99c75d978283e8e2b3d0d72fba,PD_CHR17_068,rs199453,02880e99c75d978283e8e2b3d0d72fba,rs199453,PD_CHR17_068,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
GPR65,ENSG00000140030,G protein-coupled receptor 65,0.5266395807266235,0.5266395807266235,0.5266395807266235,1,1,96331731b4895b8745ce0bfa50d10d9b,PD_CHR14_058,rs1561758,96331731b4895b8745ce0bfa50d10d9b,rs1561758,PD_CHR14_058,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
KTN1,ENSG00000126777,kinectin 1,0.4827914834022522,0.4827914834022522,0.4827914834022522,1,1,65adee85a21ebb38313f15aae4c5fff9,PD_CHR14_057,rs8012377,65adee85a21ebb38313f15aae4c5fff9,rs8012377,PD_CHR14_057,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
ITPA,ENSG00000125877,inosine triphosphatase,0.4807567894458771,0.4807567894458771,0.4807567894458771,1,1,37d08e12e028cbde84b497ef185122bd,PD_CHR20_075,rs4815573,37d08e12e028cbde84b497ef185122bd,rs4815573,PD_CHR20_075,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
KCNMB3,ENSG00000171121,potassium calcium-activated channel subfamily M regulatory beta subunit 3,0.4734447598457336,0.4734447598457336,0.4734447598457336,1,1,756f75b6491487d11ae26f7277a0989d,PD_CHR03_018,rs6806917,756f75b6491487d11ae26f7277a0989d,rs6806917,PD_CHR03_018,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
SNCA,ENSG00000145335,synuclein alpha,0.4322746694087982,0.4322746694087982,0.4322746694087982,1,1,63c3328883271922c3819609f21e52f1,PD_CHR04_024,rs356182,63c3328883271922c3819609f21e52f1,rs356182,PD_CHR04_024,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
PARP9,ENSG00000138496,poly(ADP-ribose) polymerase family member 9,0.4089574217796325,0.4089574217796325,0.4089574217796325,1,1,1b2b435b10f0de149a177f702c0afad0,PD_CHR03_016,rs16833168,1b2b435b10f0de149a177f702c0afad0,rs16833168,PD_CHR03_016,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
CRHR1,ENSG00000120088,corticotropin releasing hormone receptor 1,0.4029454886913299,0.4029454886913299,0.4029454886913299,1,1,82ba89503d872be3b3b7bcb399e7fc59,PD_CHR17_067,rs62053943,82ba89503d872be3b3b7bcb399e7fc59,rs62053943,PD_CHR17_067,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
CCAR2,ENSG00000158941,cell cycle and apoptosis regulator 2,0.3965764939785003,0.3965764939785003,0.3965764939785003,1,1,0887f1ea47022100566362acd320b7f9,PD_CHR08_037,rs11783129,0887f1ea47022100566362acd320b7f9,rs11783129,PD_CHR08_037,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
KPNA1,ENSG00000114030,karyopherin subunit alpha 1,0.3957322239875793,0.3957322239875793,0.3957322239875793,1,1,1b2b435b10f0de149a177f702c0afad0,PD_CHR03_016,rs16833168,1b2b435b10f0de149a177f702c0afad0,rs16833168,PD_CHR03_016,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
GCH1,ENSG00000131979,GTP cyclohydrolase 1,0.3703282475471496,0.3703282475471496,0.3703282475471496,1,1,8fad4497a32405d1f2e842bc35884fd6,PD_CHR14_056,rs11158026,8fad4497a32405d1f2e842bc35884fd6,rs11158026,PD_CHR14_056,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
LZTS3,ENSG00000088899,leucine zipper tumor suppressor family member 3,0.3598359227180481,0.3598359227180481,0.3598359227180481,1,1,37d08e12e028cbde84b497ef185122bd,PD_CHR20_075,rs4815573,37d08e12e028cbde84b497ef185122bd,rs4815573,PD_CHR20_075,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
NCKIPSD,ENSG00000213672,NCK interacting protein with SH3 domain,0.3463244140148163,0.3463244140148163,0.3463244140148163,1,1,68d83f61b8246a33a33777add244e241,PD_CHR03_015,rs12497850,68d83f61b8246a33a33777add244e241,rs12497850,PD_CHR03_015,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
TTC6,ENSG00000139865,tetratricopeptide repeat domain 6,0.3436167240142822,0.3436167240142822,0.3436167240142822,1,1,15f41db91da3493ebfb88ff76d4c2b41,PD_CHR14_055,rs1956438,15f41db91da3493ebfb88ff76d4c2b41,rs1956438,PD_CHR14_055,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
HSD3B7,ENSG00000099377,"hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 7",0.3309276401996612,0.3309276401996612,0.3309276401996612,1,1,09c07031cb2613c59c833fc30a9bf279,PD_CHR16_061,rs1870293,09c07031cb2613c59c833fc30a9bf279,rs1870293,PD_CHR16_061,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
CD38,ENSG00000004468,CD38 molecule,0.321556955575943,0.321556955575943,0.321556955575943,1,1,4a2c27b955e21a147ccc9b58ee7fa86d,PD_CHR04_021,rs4698412,4a2c27b955e21a147ccc9b58ee7fa86d,rs4698412,PD_CHR04_021,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
FAM171A1,ENSG00000148468,family with sequence similarity 171 member A1,0.316009521484375,0.316009521484375,0.316009521484375,1,1,4fe27e0d56a20ce70103e1d88a7441d6,PD_CHR10_040,rs13664,4fe27e0d56a20ce70103e1d88a7441d6,rs13664,PD_CHR10_040,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
NRIP1,ENSG00000180530,nuclear receptor interacting protein 1,0.3074838519096374,0.3074838519096374,0.3074838519096374,1,1,ead755c3c3641615dcc26a99ad313c0f,PD_CHR21_077,rs1736020,ead755c3c3641615dcc26a99ad313c0f,rs1736020,PD_CHR21_077,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
ERCC8,ENSG00000049167,"ERCC excision repair 8, CSA ubiquitin ligase complex subunit",0.3066307008266449,0.3066307008266449,0.3066307008266449,1,1,9840f5d6f7096f80fa7acf2b9bd26d23,PD_CHR05_027,rs1867598,9840f5d6f7096f80fa7acf2b9bd26d23,rs1867598,PD_CHR05_027,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
P2RY12,ENSG00000169313,purinergic receptor P2Y12,0.3019077479839325,0.3019077479839325,0.3019077479839325,1,1,f4e65b87c2592c59a5c29bad1fc3aaf9,PD_CHR03_017,rs6803771,f4e65b87c2592c59a5c29bad1fc3aaf9,rs6803771,PD_CHR03_017,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
TMED5,ENSG00000117500,transmembrane p24 trafficking protein 5,0.3018712401390075,0.3018712401390075,0.3018712401390075,1,1,98ab9e7e0641b4973c5ce38fe0902af3,PD_CHR01_001,rs11164870,98ab9e7e0641b4973c5ce38fe0902af3,rs11164870,PD_CHR01_001,GCST90308590,Open Targets L2G prioritisation score; not proof of causality,eligible under broad rule; gene_weight=max L2G score
